brand,description,link
VSTAR,Women's Viscose Plain Half Sleeve Comfy Blouse,https://www.amazon.in/VSTAR-Blouse-Perfect-Readymade-Blouse_Black_M/dp/B07RXC3J9J
Jockey,1301 Women's Super Combed Cotton Elastane Stretch Slim Fit Trackpants with Side Pockets,https://www.amazon.in/Jockey-Womens-Relaxed-1301_Wine-Tasting_X-Large/dp/B07JHFDCXV
Amayra,Women's A-Line Knee Length Dress,https://www.amazon.in/Amayra-Womens-Rayon-Line-Medium/dp/B07KYT33XQ
DUMMY SHAPE,Women's Cotton Rayon Green Maternity & Feeding Casual Wear Long Kurti Dress,https://www.amazon.in/DUMMY-SHAPE-Womens-Maternity-Feeding/dp/B08HN5Z7D1
Womanista,Women's Floral Printed Poly Georgette Saree with Mirror Lace (TKIM811_Black),https://www.amazon.in/Womanista-georgette-blouse-TKIM811_-Black_/dp/B08286D6QQ
Amayra,Women's Cotton Straight Embroidery Kurti,https://www.amazon.in/Amayra-Women-Cotton-Straight-Embroidery/dp/B07HB5PHQC
ZUVINO,Women's Casual Stylish Peplum Top with Puffed Sleeves,https://www.amazon.in/ZUVINO-Womens-Stylish-Sleeves-XX-Large/dp/B09NMNP8RL
Jockey,Women's Cotton Capri Pants (1300-0105-BLACKXX-Large),https://www.amazon.in/Jockey-Womens-Cotton-Capri-1300-0105-BLACKXX-Large/dp/B00MIPLXB0
Ada,Lucknowi Chikankari Hand Embroidered Straigh Cotton Kurta Kurti Tunic for Women A188048,https://www.amazon.in/Womens-Cotton-Black-Kurta-M188048_Medium/dp/B073GQP15V
Alan Jones Clothing,Women's Cotton Hooded Neck Sweatshirt,https://www.amazon.in/Alan-Jones-Clothing-Sweatshirt-Green_2XL/dp/B09MCZH98N
AELOMART,Women's Cotton Regular Top(AWT2053-Pn),https://www.amazon.in/AELOMART-Womens-Cotton-Mustard-AWT2053MDW-P/dp/B07PFVX82B
Studio Shringaar,Women's Maxi Skirt Lehenga,https://www.amazon.in/STUDIO-SHRINGAAR-WOMENS-SKIRT-LEHENGA/dp/B082W6P5PX
Alan Jones Clothing,Women's Slim Fit Trackpants,https://www.amazon.in/Alan-Jones-Clothing-WM20-JOG-P08-NAVY-M_Navy-Blue_Medium/dp/B08B4SWQ6P
Van Heusen,Athleisure Women T-Shirt,https://www.amazon.in/Van-Heusen-Womens-55403_Candy-Coral_XL/dp/B07J5PBNY9
OCEAN RACE,Women's Regular Fit Cotton Capris,https://www.amazon.in/OCEAN-RACE-Capri-3-Color-Grape-Coral-New-164-L/dp/B07JD2MQZM
Amazon Brand - Symbol,Women's Cotton Blend Hooded Neck Sweatshirt,https://www.amazon.in/Amazon-Brand-Sweatshirt-AW18WNSSW28_Iris-Navy_Medium/dp/B07TW97VDY
Lux Lyra,"Ankle Length Leggings, Multiple colours - Dhanari Exclusive Offer",https://www.amazon.in/LUX-LYRA-Leggings-AL-09/dp/B073RG8Y25
JUNEBERRY,Cotton Half Sleeve Regular Fit Printed T-Shirt for Women/Girls,https://www.amazon.in/JUNEBERRY-Regular-Printed-T-Shirt-JB_TSH_54_502_Wild_L_Multicolored_Large/dp/B095BZ2S5J
ZEYO,Women's Cotton Flash Printed Night Suit Set of Shirt & Pyjama 5251,https://www.amazon.in/ZEYO-Womens-Printed-Stylish-X-Large/dp/B08Q7S5WRY
Generic,Vrnda Women's Readymade Cotton Printed Patiala and Dupatta Set,https://www.amazon.in/Womens-Regular-Patiala-V_Sal_Dup_White_Green-White_Free/dp/B08V4ZLKCN
Fabricorn,Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women,https://www.amazon.in/Fabricorn-Cotton-Stripes-V-Neck-3X-Large/dp/B093SK83BC
ZEYO,Women's Cotton Heart Printed Night Suit Set of Shirt & Pyjama 5152,https://www.amazon.in/ZEYO-Womens-Cotton-PlumRed-X-Large/dp/B08NTM9J92
Stars and You,"Women's Knee Length Formal Pencil Skirt with Elastic Waist Band (Size in inches XS-26, S-28, M-30, L-32, XL- 34, XXL-36 INCHES)",https://www.amazon.in/Stars-You-Womens-Cotton-Elastic/dp/B07JFMB68L
SAMJHI,Women's Loose Fit Palazzo,https://www.amazon.in/Samjhi-Cotton-Palazzo-Women-White/dp/B082HHJ4F4
ZEYO,Women's Cotton Star Printed Night Suit Set of Top & Shorts 5133,https://www.amazon.in/ZEYO-Womens-Cotton-Print-Night/dp/B07PDMMYSF
ZEYO,Women's Cotton Heart Printed Night Suit Set of Shirt & Pyjama 5274,https://www.amazon.in/ZEYO-Womens-Cotton-Printed-Stylish/dp/B08Q42L8D3
ZEYO,Women's Cotton Strip Printed Night Suit Set of Shirt & Pyjama 5261,https://www.amazon.in/ZEYO-Lavender-Striped-Printed-Stylish/dp/B08Q3Y674X
Yash Gallery,Women's Cotton Floral Printed A-Line Kurta for Women,https://www.amazon.in/Yash-Gallery-Womens-Anarkali-190PLYK214MEHROON_Multi_XXX-Large/dp/B08SQKVM5W
Amayra,Women Cotton A-Line Kurti(Green),https://www.amazon.in/Amayra-Women-Cotton-Line-Kurti/dp/B07QCV277G
Wear Your Opinion,Women's Army Camouflauge Print Casual (Size XS to 3XL) Long T-Shirt Dress,https://www.amazon.in/Wear-Your-Opinion-Womens-Military/dp/B07MZ7H479
ZEYO,Women's Cotton 3PC's Heart Printed Night Suit 5357,https://www.amazon.in/ZEYO-Womens-Cotton-Triangle-Print/dp/B08R5H77T6
Mysha,Women's Lace And Cotton Solid Sleeve Blouse,https://www.amazon.in/Mysha-Womens-Polyester-Non-Wired-Size-36B/dp/B08ZNMFG9Y
OCEAN RACE,Women Cotton Capri-3/4 th Pant,https://www.amazon.in/OCEAN-RACE-Capri-3-Color-Hot-Purple-New-174-M/dp/B07JDBH7NG
Style Quotient,Women Self Design Floral lace Regular Open Front Shrug,https://www.amazon.in/Style-Quotient-Blouson-SS19SQAHILYA_Off_WT-White_X-Large/dp/B081VN5MN7
B STORIES,Women's Viscose Printed Culotte Shorts,https://www.amazon.in/STORIES-Womens-Viscose-Culotte-LCULO-001-21031-L/dp/B092R8ZVVN
ZEYO,Women's Cotton Dot Printed Night Suit Set of Top & Shorts 5226,https://www.amazon.in/ZEYO-Womens-Cotton-Printed-Stylish/dp/B08RDTQFR9
Amazon Brand - Symbol,Women's Cotton Blend Hooded Neck Sweatshirt,https://www.amazon.in/Amazon-Brand-Symbol-Sweatshirt-AW18WNSSW33_Carmel_XL/dp/B097CG9Y8P
Khushal K,Women's Rayon Kurta with Palazzo Set,https://www.amazon.in/KHUSHAL-Womens-Printed-Palazzo-X-Large/dp/B07L31JRZM
Janasya,Women Cotton KURTA,https://www.amazon.in/Janasya-Womens-Cotton-Straight-Kurta/dp/B089G31L36
Monjolika Fashion,Women's Banarasi Silk Blend Woven Zari With Tussles Saree and Jacquard Woven Blouse Piece (37765 color),https://www.amazon.in/Monjolika-Fashion-Womens-Banarasi-37765_Magenta/dp/B08354NT7W
Lux Lyra,Lyra Women Solid Premium Cotton Churidar Leggings | Mid-Waist | Fashionwear,https://www.amazon.in/LUX-LYRA-Womens-Churidar-Legging/dp/B07P9RLB1C
Studio Shringaar,Women's Cotton Jaipuri Elbow Length Sleeve Saree Blouse,https://www.amazon.in/Studio-Shringaar-Cotton-SII1887_34_Indigo-Blue_XX-Small/dp/B078NPZB87
MANOHARI,Women Chiffon Saree With Blouse Piece,https://www.amazon.in/MANOHARI-Womens-Chiffon-Matching-MN1199_Blue/dp/B09BR9DXNW
ZEYO,Women's Cotton Heart Printed Night Suit Set of Top & Capri 5233,https://www.amazon.in/ZEYO-Womens-Cotton-Printed-Stylish/dp/B08P5524GY
Varkala Silk Sarees,Women's Banarasi Kanchipuram Silk Saree With Blouse Piece,https://www.amazon.in/VARKALA-SILK-SAREES-Kanjiwaram-Banarasi/dp/B07JRBVXBV
ZEYO,Women's Joggers Printed Regular Fit Track Pant 5046,https://www.amazon.in/ZEYO-Womens-Joggers-Striped-Regular/dp/B08Y734D1D
Studio Shringaar,Women's Polyester Elbow Length Sleeves Blouse,https://www.amazon.in/Studio-Shringaar-Digital-Stitched-Multicolour/dp/B07B6M9T7T
Fabricorn,Women's Fleece Hooded Sweatshirt,https://www.amazon.in/Fabricorn-Stripes-Stylish-Sweatshirt-XX-Large/dp/B08R5SWPQL
Qube By Fort Collins,Men's Sweatshirt,https://www.amazon.in/Qube-Fort-Collins-929206-SMU_Black_L/dp/B07FKSVX33
Amazon Brand - Inkast Denim Co.,Men's Lightweight Jacket,https://www.amazon.in/Amazon-Brand-Lightweight-Regular-AW20-LW-INK-04_Navy_M/dp/B08DGFQC46
Jockey,9928 Men's Super Combed Cotton Rich Graphic Printed Low Neck Tank Top with Stay Fresh Treatment,https://www.amazon.in/Jockey-Mens-Regular-Tank-9928_White_Small/dp/B01EUQN2NQ
Amazon Brand - Symbol,Men's Cotton Blend Crew Neck Sweatshirt (AW19MNSSW60_White_L),https://www.amazon.in/Amazon-Brand-Symbol-Sweatshirt-AW19MNSSW60_White_L/dp/B07TMNRDSW
Deniklo,Men's Regular fit T-Shirt,https://www.amazon.in/Deniklo-Regular-T-Shirt-Charcoal-Black_XL/dp/B07TFRQ2PG
CHKOKKO,Men's Regular Fit Polos,https://www.amazon.in/CHKOKKO-Cotton-Button-Sleeves-T-Shirts/dp/B07VCJW9Z6
Qube By Fort Collins,Men Sweatshirt,https://www.amazon.in/Qube-Fort-Collins-Sweatshirt-347AZ_Black_M/dp/B07WQNB1CT
Forest Club,| Hiking Vest | | Lightweight | | Quick Dry | Travellers Jacket | Journalist | Photographers Jacket for Men,https://www.amazon.in/Forest-Club-Jacket-TZED_CAMERA_JACKET_BLUE_M_Navy-Blue_M/dp/B09V7H9L27
Amazon Brand - House & Shields,Men's Cotton Blend Hooded Sweatshirt (AW19-HSS-21_Black_L),https://www.amazon.in/Amazon-Brand-Shields-Sweatshirt-AW19-HSS-21_Black_L/dp/B07TNV91GV
SHAUN,Men's Regular Fit T-Shirt,https://www.amazon.in/SHAUN-Men-T-Shirt-104MF1_N42_Blue_Large_Pack-1/dp/B085CGF7B3
GODFREY,Polo T Shirt for Men with Pocket,https://www.amazon.in/GODFREY-Cotton-Maroon-Polo-Shirt/dp/B09H71JGKR
Amazon Brand - House & Shields,Men's Cotton Blend Hooded Sweatshirt (AW19-HSS-21_Cobalt Blue_2XL),https://www.amazon.in/Amazon-Brand-Sweatshirt-AW19-HSS-21_Cobalt-Blue_XXL/dp/B07TMR4P2L
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Marigold_2XL_Marigold Yellow_2XL),https://www.amazon.in/Amazon-Brand-Symbol-Solid-Kurta/dp/B09MR4VSHL
Amazon Brand - Symbol,Cotton Men's Kurtas (SYMETHLKUR-4_Mustard_L),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_-Mustard_/dp/B08Q4J6Q7T
Amazon Brand - House & Shields,Men's Cotton Blend Hooded Sweatshirt (AW19-HSS-21_Iris Navy_XL),https://www.amazon.in/Amazon-Brand-Shields-Sweatshirt-AW19-HSS-21_Iris/dp/B07TMR52PM
Amazon Brand - Symbol,Men's Regular Jeans,https://www.amazon.in/Amazon-Brand-Symbol-Regular-SY-NS-EP-JG-001B_Indigo_36/dp/B097MRR27X
Classic Polo,Men's Regular Fit Polo Collar Half Sleeve Solid Cotton Blend,https://www.amazon.in/Classic-Polo-Regular-Collar-T-Shirt/dp/B095CP37LF
Amazon Brand - House & Shields,Men's Cottonblend Hooded & Button Front Hoodie (AW19-HSS-21_Vintage Maroon_L_Vintage Maroon_L),https://www.amazon.in/Amazon-Brand-Sweatshirt-AW19-HSS-21_Vintage-Maroon_L/dp/B07TNV9GSC
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Pastel Lilac_S_Pastel Lilac_S),https://www.amazon.in/Amazon-Brand-Symbol-Solid-Kurta/dp/B09MR6QBGL
Big Button,Men's Round Neck Dynamic Dry Fit Gym Sports Tshirt,https://www.amazon.in/Big-Button-Dynamic-Sports-Tshirt/dp/B098R6TCMM
Amazon Brand - Symactive,Men's Activewear Gym Shorts (SYM-A-046C_Black_XXX-Large),https://www.amazon.in/Amazon-Brand-Symactive-SYM-046C_Black_XXX-Large/dp/B09LJ36RGT
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Sailor Blue_L_Sailor Blue_L),https://www.amazon.in/Amazon-Brand-Symbol-Casual-SYMETHLKUR-4_Sailor/dp/B09NP421VB
Qube By Fort Collins,Men's Jacket,https://www.amazon.in/Qube-Fort-Collins-1284-SMU_Maroon_L/dp/B07SK8BFB7
CHKOKKO,Men's Gym Regular Fit Full Sleeves T-Shirt LIGHTGREY Size S,https://www.amazon.in/CHKOKKO-Active-Regular-Stretchable-Tshirts/dp/B07W658PB8
PRAKASAM COTTON,Mens White Cotton Dhoti with Jari Border,https://www.amazon.in/Prakasam-Cotton-Single-Border-1-30X2-00/dp/B07VFPSBZR
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Capu Olive_L_Capu Olive_L),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_Capu-Olive_L/dp/B09NP2X6YJ
Amazon Brand - Symbol,Men's Cotton Blend Crew Neck Sweatshirt (AW19MNSSW60_Black&Ecru Olive_M),https://www.amazon.in/Amazon-Brand-Sweatshirt-AW19MNSSW60_Black-Olive_M/dp/B08F639NG9
aarbee,Men's Blended V Neck Sweater,https://www.amazon.in/aarbee-Mens-Blended-Sweater-Navy/dp/B01NCHP9ZA
Red Tape,Men Shirt,https://www.amazon.in/Red-Tape-Regular-Casual-RSF9704_Navy_Small/dp/B07P8S8J5W
Peter England,Men's Blouson Cotton Sweatshirt,https://www.amazon.in/Peter-England-Mens-Sweatshirt-PJSTPRGF625016_Yellow_Large/dp/B08R91LL3C
WINTAGE,Men's Regular Fit Notched Lapel Blazer,https://www.amazon.in/Wintage-Velvet-Buttoned-Notch-Blazer/dp/B01HPZ6J7U
Jockey,Men's Regular Fit Striped Round Neck Half Sleeved T-Shirt,https://www.amazon.in/Jockey-Striped-Regular-T-Shirt-2717_Blk/dp/B085BM7TYP
Amazon Brand - Symbol,Men Sweatshirt,https://www.amazon.in/Amazon-Brand-Sweatshirt-AW18MNSSW07C_Desert-Yellow_L/dp/B08F62Z7BY
aarbee,Men's Blended V-Neck Sweater,https://www.amazon.in/aarbee-Blended-Sweater-Black-Large/dp/B0178FS9SY
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Pastel Lilac_2XL_Pastel Lilac_2XL),https://www.amazon.in/Amazon-Brand-Symbol-Solid-Kurta/dp/B09MR6JG8R
Amazon Brand - Symbol,Men Sweatshirt,https://www.amazon.in/Amazon-Brand-Sweatshirt-AW19MNSSW58_Vintage-Maroon_L/dp/B07TNRPXDM
Arrow,Men's Slim Shirt,https://www.amazon.in/Arrow-Sports-Solid-Shirt-ASCTSH1754_Turquoise/dp/B094N54LS3
Qube By Fort Collins,Men's Jacket,https://www.amazon.in/Qube-Fort-Collins-Jacket-12139_Antique_L/dp/B07SH1F74M
GRITSTONES,Full Sleeves Cotton Fleece Hooded Sweatshirt with Kangaroo Pocket GSFSSWTSHT2239-P,https://www.amazon.in/GRITSTONES-GSFSSWTSHT2239GMEL-Mens-Sweatshirt-GSFSSWTSHT2239GMEL_Grey_Large/dp/B07LFYSSGD
Amazon Brand - Symbol,Cotton Men's Kurtas (SYMETHLKUR-4_Mustard_S),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_-Mustard_/dp/B08Q4LMS93
Amazon Brand - Symbol,Cotton Men's Kurtas (SYMETHLKUR-4_Mustard_2XL),https://www.amazon.in/Amazon-Brand-SYMETHLKUR-4_-Mustard_-XX-Large/dp/B08Q4N4ZRB
Amazon Brand - House & Shields,Men's Cotton Blend Neck Hooded Sweatshirt (HSS-21_Desert Yellow_M),https://www.amazon.in/Amazon-Brand-Sweatshirt-HSS-21_Desert-Yellow_M/dp/B08F638ZDV
teknik,"Unisex Quick-Dry Dry Fit Ultralight Water Resistant Sports Cap (Pack of 1, Free Size)",https://www.amazon.in/Teknik-Quick-Dry-Ultralight-Resistant-Sports/dp/B07TC6K3R2
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Plum_3XL_Plum_3XL),https://www.amazon.in/Amazon-Brand-Symbol-Casual-SYMETHLKUR-4_Plum_3XL/dp/B09NP3NR6J
CHKOKKO,Men's Regular Fit V Neck Half Sleeves Plain Sports and Gym T-Shirt Mustard Size M,https://www.amazon.in/CHKOKKO-Polyester-Sleeves-Sports-T-Shirt/dp/B07ZB1JN5N
Amazon Brand - Symbol,Men's Cotton Regular Kurta (SYMETHLKUR-4_Brunnera Blue_XL_Brunnera Blue_XL),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_Brunnera-Blue_XL/dp/B09NP3CVY6
Amazon Brand - Symbol,Casual Men's Kurta (SYMETHLKUR-4_Capu Olive_3XL),https://www.amazon.in/Amazon-Brand-Symbol-SYMETHLKUR-4_Capu-Olive_3XL/dp/B09NP5DXSY
Amazon Brand - Symactive,Men Sports Sweatshirt,https://www.amazon.in/Amazon-Brand-Symactive-AW21-SYM-SWT-06_Jet-Black_Medium/dp/B095YWZNYJ
